Time,Type,Details
1785207033689,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033689,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033726,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033727,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033728,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033730,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033731,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033731,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033764,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033764,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033774,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033796,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033815,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033833,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033833,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033855,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033872,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033873,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033873,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033873,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033892,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033893,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033893,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033893,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033893,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033893,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033912,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033937,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033937,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033937,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033939,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033939,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033953,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033954,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033973,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033974,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033974,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033974,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033993,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033994,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033994,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034013,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034014,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034014,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034015,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034033,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034054,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034055,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034077,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
